0.000	31979.3	31979.3
1.018	8245.2	19882.3
2.018	8235.0	15804.6
3.051	7848.0	13710.6
4.085	7938.6	12515.5
5.085	7809.0	11673.5
6.118	7772.1	11086.2
7.118	7794.1	10635.1
8.151	7851.0	10301.1
9.151	7962.6	10043.8
10.151	8152.1	9844.1
11.185	8212.8	9687.3
12.185	8275.9	9559.0
13.185	7992.2	9426.1
14.218	7792.8	9301.4
15.218	7893.1	9195.5
16.251	8132.9	9118.0
17.251	7978.1	9039.0
18.285	7832.1	8960.8
19.318	7374.0	8868.0
20.351	7322.0	8781.7
21.385	7195.0	8697.8
22.418	7397.6	8631.6
23.418	7357.1	8567.6
24.451	7464.8	8514.5
25.451	7225.0	8455.0
26.485	7072.0	8394.4
27.518	7160.7	8342.7
28.518	7191.7	8295.6
29.518	7038.1	8245.3
30.551	7447.3	8212.1
31.551	7493.0	8181.6
32.585	7714.1	8160.0
33.585	7656.0	8137.6
34.618	7605.0	8115.0
35.651	7699.5	8096.6
36.651	7914.9	8084.8
37.651	7705.1	8068.0
38.685	7586.9	8049.5
39.685	7471.8	8028.7
40.718	7575.0	8011.4
41.751	7475.0	7992.6
42.785	7704.8	7980.1
43.785	7541.0	7964.4
44.818	7730.6	7953.7
45.818	7500.0	7938.3
46.851	7744.0	7928.7
47.885	7708.0	7918.8
48.918	7779.2	7910.8
49.918	7786.5	7903.3
50.918	7613.3	7892.8
51.918	7569.3	7881.7
52.951	8777.5	7892.9
53.951	46293.9	8586.8
54.985	10220.4	8610.9
56.018	7773.0	8591.2
57.051	7639.0	8569.8
58.085	7683.2	8550.5
59.085	7697.0	8531.5
60.118	7575.1	8511.2
61.151	7767.9	8495.1
62.151	7861.1	8480.9
63.151	7667.0	8463.8
64.185	7822.8	8450.0
65.185	7569.1	8432.4
66.218	4905.1	8407.0
